Date,Open,High,Low,Close,Adj Close,Volume
2019-02-08,86.190002,86.790001,86.059998,86.739998,84.503334,545800
2019-02-11,86.150002,86.339996,86.000000,86.110001,83.889580,357300
2019-02-12,85.370003,85.970001,85.320000,85.790001,83.577835,196000
2019-02-13,85.699997,86.040001,85.610001,85.800003,83.587578,221300
2019-02-14,88.019997,88.080002,87.250000,87.550003,85.292450,436800
2019-02-15,88.379997,88.900002,88.330002,88.820000,86.529701,405900
2019-02-19,89.230003,89.540001,89.129997,89.260002,86.958359,768400
2019-02-20,90.470001,90.720001,90.300003,90.540001,88.205345,759400
2019-02-21,91.419998,91.769997,91.269997,91.629997,89.267242,516900
2019-02-22,90.540001,91.209999,90.480003,91.040001,88.692459,307900
2019-02-25,91.290001,91.349998,90.720001,91.000000,88.653488,920900
2019-02-26,91.309998,91.580002,91.099998,91.099998,88.750908,656200
2019-02-27,90.360001,90.669998,89.949997,89.980003,87.659790,494700
2019-02-28,90.769997,90.889999,90.330002,90.330002,88.000763,393500
2019-03-01,90.699997,90.940002,90.550003,90.760002,88.419678,625400
2019-03-04,91.250000,91.269997,90.610001,90.949997,88.604774,398800
2019-03-05,90.809998,91.720001,90.779999,91.629997,89.267242,637900
2019-03-06,90.989998,91.389999,90.830002,91.220001,88.867813,292000
2019-03-07,92.150002,92.250000,91.459999,91.510002,89.150337,316100
2019-03-08,91.820000,92.320000,91.720001,91.940002,89.569252,420300
2019-03-11,91.680000,92.220001,91.639999,92.160004,89.783577,389400
2019-03-12,91.889999,92.339996,91.800003,92.250000,89.871254,282400
2019-03-13,92.849998,93.139999,92.379997,93.050003,90.650627,461400
2019-03-14,93.900002,94.379997,93.849998,94.099998,91.673546,372500
2019-03-15,94.150002,94.250000,93.470001,93.500000,91.089020,531900
2019-03-18,94.000000,94.360001,93.839996,94.320000,91.887878,488500
2019-03-19,94.980003,95.070000,94.309998,94.459999,92.024269,249200
2019-03-20,94.519997,95.639999,94.300003,95.099998,92.647766,1074700
2019-03-21,95.919998,96.199997,95.760002,96.199997,93.719398,429900
2019-03-22,94.879997,95.290001,94.150002,94.169998,91.741745,300100
2019-03-25,94.580002,94.900002,94.320000,94.570000,92.131432,415100
2019-03-26,95.519997,96.120003,95.379997,95.739998,93.271263,334600
2019-03-27,95.480003,96.139999,95.169998,95.599998,93.134872,288300
2019-03-28,95.870003,96.040001,95.360001,95.529999,93.066673,407700
2019-03-29,95.290001,95.400002,95.070000,95.320000,92.862091,431700
2019-04-01,95.110001,95.169998,94.559998,94.709999,92.267822,367200
2019-04-02,94.660004,94.989998,94.440002,94.910004,92.462669,323000
2019-04-03,95.089996,95.800003,95.040001,95.690002,93.222549,416600
2019-04-04,95.129997,95.550003,95.099998,95.540001,93.076416,347500
2019-04-05,95.500000,95.879997,95.459999,95.599998,93.134872,276700
2019-04-08,96.019997,96.040001,95.489998,95.629997,93.164093,250200
2019-04-09,96.250000,96.800003,96.059998,96.690002,94.196770,296000
2019-04-10,96.529999,96.989998,96.489998,96.660004,94.167542,262200
2019-04-11,96.129997,96.269997,95.809998,96.050003,93.573273,232100
2019-04-12,95.230003,95.709999,95.050003,95.550003,93.086166,412800
2019-04-15,93.720001,94.139999,93.510002,94.080002,94.080002,704700
2019-04-16,94.250000,94.480003,93.980003,94.110001,94.110001,978500
2019-04-17,93.540001,94.360001,93.459999,94.339996,94.339996,404400
2019-04-18,94.540001,94.769997,94.230003,94.709999,94.709999,421400
2019-04-22,94.849998,94.849998,94.379997,94.779999,94.779999,478500
2019-04-23,94.720001,95.309998,94.650002,95.089996,95.089996,1001500
